"","state","population","date","month","cumulative.death.cases","death.cases","cumulative.confirmed.cases","confirmed.cases"
"1","Alabama",4903185,2020-01-22,1,0,0,0,0
"2","Alabama",4903185,2020-01-23,1,0,0,0,0
"3","Alabama",4903185,2020-01-24,1,0,0,0,0
"4","Alabama",4903185,2020-01-25,1,0,0,0,0
"5","Alabama",4903185,2020-01-26,1,0,0,0,0
"6","Alabama",4903185,2020-01-27,1,0,0,0,0
"7","Alabama",4903185,2020-01-28,1,0,0,0,0
"8","Alabama",4903185,2020-01-29,1,0,0,0,0
"9","Alabama",4903185,2020-01-30,1,0,0,0,0
"10","Alabama",4903185,2020-01-31,1,0,0,0,0
"11","Alabama",4903185,2020-02-01,2,0,0,0,0
"12","Alabama",4903185,2020-02-02,2,0,0,0,0
"13","Alabama",4903185,2020-02-03,2,0,0,0,0
"14","Alabama",4903185,2020-02-04,2,0,0,0,0
"15","Alabama",4903185,2020-02-05,2,0,0,0,0
"16","Alabama",4903185,2020-02-06,2,0,0,0,0
"17","Alabama",4903185,2020-02-07,2,0,0,0,0
"18","Alabama",4903185,2020-02-08,2,0,0,0,0
"19","Alabama",4903185,2020-02-09,2,0,0,0,0
"20","Alabama",4903185,2020-02-10,2,0,0,0,0
"21","Alabama",4903185,2020-02-11,2,0,0,0,0
"22","Alabama",4903185,2020-02-12,2,0,0,0,0
"23","Alabama",4903185,2020-02-13,2,0,0,0,0
"24","Alabama",4903185,2020-02-14,2,0,0,0,0
"25","Alabama",4903185,2020-02-15,2,0,0,0,0
"26","Alabama",4903185,2020-02-16,2,0,0,0,0
"27","Alabama",4903185,2020-02-17,2,0,0,0,0
"28","Alabama",4903185,2020-02-18,2,0,0,0,0
"29","Alabama",4903185,2020-02-19,2,0,0,0,0
"30","Alabama",4903185,2020-02-20,2,0,0,0,0
"31","Alabama",4903185,2020-02-21,2,0,0,0,0
"32","Alabama",4903185,2020-02-22,2,0,0,0,0
"33","Alabama",4903185,2020-02-23,2,0,0,0,0
"34","Alabama",4903185,2020-02-24,2,0,0,0,0
"35","Alabama",4903185,2020-02-25,2,0,0,0,0
"36","Alabama",4903185,2020-02-26,2,0,0,0,0
"37","Alabama",4903185,2020-02-27,2,0,0,0,0
"38","Alabama",4903185,2020-02-28,2,0,0,0,0
"39","Alabama",4903185,2020-02-29,2,0,0,0,0
"40","Alabama",4903185,2020-03-01,3,0,0,0,0
"41","Alabama",4903185,2020-03-02,3,0,0,0,0
"42","Alabama",4903185,2020-03-03,3,0,0,0,0
"43","Alabama",4903185,2020-03-04,3,0,0,0,0
"44","Alabama",4903185,2020-03-05,3,0,0,0,0
"45","Alabama",4903185,2020-03-06,3,0,0,0,0
"46","Alabama",4903185,2020-03-07,3,0,0,0,0
"47","Alabama",4903185,2020-03-08,3,0,0,0,0
"48","Alabama",4903185,2020-03-09,3,0,0,0,0
