"","state","population","date","month","cumulative.death.cases","death.cases","cumulative.confirmed.cases","confirmed.cases","recovered.cases","active.cases","incident.rate","people.tested","people.hospitalized","mortality.rate","testing.rate","hospitalization.rate"
"1","ALABAMA",4903185,2020-01-22,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","ALABAMA",4903185,2020-01-23,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","ALABAMA",4903185,2020-01-24,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"4","ALABAMA",4903185,2020-01-25,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALABAMA",4903185,2020-01-26,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"6","ALABAMA",4903185,2020-01-27,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7","ALABAMA",4903185,2020-01-28,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","ALABAMA",4903185,2020-01-29,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"9","ALABAMA",4903185,2020-01-30,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"10","ALABAMA",4903185,2020-01-31,"January",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"11","ALABAMA",4903185,2020-02-01,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12","ALABAMA",4903185,2020-02-02,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"13","ALABAMA",4903185,2020-02-03,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"14","ALABAMA",4903185,2020-02-04,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"15","ALABAMA",4903185,2020-02-05,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"16","ALABAMA",4903185,2020-02-06,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"17","ALABAMA",4903185,2020-02-07,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"18","ALABAMA",4903185,2020-02-08,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"19","ALABAMA",4903185,2020-02-09,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"20","ALABAMA",4903185,2020-02-10,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"21","ALABAMA",4903185,2020-02-11,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"22","ALABAMA",4903185,2020-02-12,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"23","ALABAMA",4903185,2020-02-13,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"24","ALABAMA",4903185,2020-02-14,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"25","ALABAMA",4903185,2020-02-15,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"26","ALABAMA",4903185,2020-02-16,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"27","ALABAMA",4903185,2020-02-17,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"28","ALABAMA",4903185,2020-02-18,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"29","ALABAMA",4903185,2020-02-19,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"30","ALABAMA",4903185,2020-02-20,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"31","ALABAMA",4903185,2020-02-21,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"32","ALABAMA",4903185,2020-02-22,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33","ALABAMA",4903185,2020-02-23,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"34","ALABAMA",4903185,2020-02-24,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"35","ALABAMA",4903185,2020-02-25,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"36","ALABAMA",4903185,2020-02-26,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"37","ALABAMA",4903185,2020-02-27,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"38","ALABAMA",4903185,2020-02-28,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"39","ALABAMA",4903185,2020-02-29,"February",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"40","ALABAMA",4903185,2020-03-01,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"41","ALABAMA",4903185,2020-03-02,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"42","ALABAMA",4903185,2020-03-03,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"43","ALABAMA",4903185,2020-03-04,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"44","ALABAMA",4903185,2020-03-05,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"45","ALABAMA",4903185,2020-03-06,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"46","ALABAMA",4903185,2020-03-07,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"47","ALABAMA",4903185,2020-03-08,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"48","ALABAMA",4903185,2020-03-09,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"49","ALABAMA",4903185,2020-03-10,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"50","ALABAMA",4903185,2020-03-11,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"51","ALABAMA",4903185,2020-03-12,"March",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"52","ALABAMA",4903185,2020-03-13,"March",0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"53","ALABAMA",4903185,2020-03-14,"March",0,0,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"54","ALABAMA",4903185,2020-03-15,"March",0,0,11,4,NA,NA,NA,NA,NA,NA,NA,NA
"55","ALABAMA",4903185,2020-03-16,"March",0,0,29,18,NA,NA,NA,NA,NA,NA,NA,NA
"56","ALABAMA",4903185,2020-03-17,"March",0,0,39,10,NA,NA,NA,NA,NA,NA,NA,NA
"57","ALABAMA",4903185,2020-03-18,"March",0,0,51,12,NA,NA,NA,NA,NA,NA,NA,NA
"58","ALABAMA",4903185,2020-03-19,"March",0,0,78,27,NA,NA,NA,NA,NA,NA,NA,NA
"59","ALABAMA",4903185,2020-03-20,"March",0,0,106,28,NA,NA,NA,NA,NA,NA,NA,NA
"60","ALABAMA",4903185,2020-03-21,"March",0,0,131,25,NA,NA,NA,NA,NA,NA,NA,NA
"61","ALABAMA",4903185,2020-03-22,"March",0,0,157,26,NA,NA,NA,NA,NA,NA,NA,NA
"62","ALABAMA",4903185,2020-03-23,"March",0,0,196,39,NA,NA,NA,NA,NA,NA,NA,NA
"63","ALABAMA",4903185,2020-03-24,"March",0,0,242,46,NA,NA,NA,NA,NA,NA,NA,NA
"64","ALABAMA",4903185,2020-03-25,"March",1,1,381,139,NA,NA,NA,NA,NA,NA,NA,NA
"65","ALABAMA",4903185,2020-03-26,"March",1,0,517,136,NA,NA,NA,NA,NA,NA,NA,NA
"66","ALABAMA",4903185,2020-03-27,"March",4,3,587,70,NA,NA,NA,NA,NA,NA,NA,NA
"67","ALABAMA",4903185,2020-03-28,"March",4,0,694,107,NA,NA,NA,NA,NA,NA,NA,NA
"68","ALABAMA",4903185,2020-03-29,"March",10,6,825,131,NA,NA,NA,NA,NA,NA,NA,NA
"69","ALABAMA",4903185,2020-03-30,"March",10,0,899,74,NA,NA,NA,NA,NA,NA,NA,NA
"70","ALABAMA",4903185,2020-03-31,"March",23,13,987,88,NA,NA,NA,NA,NA,NA,NA,NA
"71","ALABAMA",4903185,2020-04-01,"April",27,4,1060,73,NA,NA,NA,NA,NA,NA,NA,NA
"72","ALABAMA",4903185,2020-04-02,"April",32,5,1233,173,NA,NA,NA,NA,NA,NA,NA,NA
"73","ALABAMA",4903185,2020-04-03,"April",38,6,1495,262,NA,NA,NA,NA,NA,NA,NA,NA
"74","ALABAMA",4903185,2020-04-04,"April",44,6,1614,119,NA,NA,NA,NA,NA,NA,NA,NA
"75","ALABAMA",4903185,2020-04-05,"April",45,1,1765,151,NA,NA,NA,NA,NA,NA,NA,NA
"76","ALABAMA",4903185,2020-04-06,"April",49,4,1952,187,NA,NA,NA,NA,NA,NA,NA,NA
"77","ALABAMA",4903185,2020-04-07,"April",64,15,2169,217,NA,NA,NA,NA,NA,NA,NA,NA
"78","ALABAMA",4903185,2020-04-08,"April",66,2,2328,159,NA,NA,NA,NA,NA,NA,NA,NA
"79","ALABAMA",4903185,2020-04-09,"April",70,4,2703,375,NA,NA,NA,NA,NA,NA,NA,NA
"80","ALABAMA",4903185,2020-04-10,"April",80,10,2947,244,NA,NA,NA,NA,NA,NA,NA,NA
"81","ALABAMA",4903185,2020-04-11,"April",92,12,3217,270,NA,NA,NA,NA,NA,NA,NA,NA
"82","ALABAMA",4903185,2020-04-12,"April",93,1,3563,346,NA,3470,75.98802021,21583,437,2.610159978,460.3001516,12.26494527
"83","ALABAMA",4903185,2020-04-13,"April",99,6,3734,171,NA,3635,79.6349333329352,29182,457,2.65131226566685,622.363852308976,12.2388859132298
"84","ALABAMA",4903185,2020-04-14,"April",114,15,3953,219,NA,3839,84.30554137,33117,493,2.883885656,706.2855081,12.4715406
"85","ALABAMA",4903185,2020-04-15,"April",118,4,4075,122,NA,3957,86.9074326008867,34077,525,2.89570552147239,726.759406316667,12.8834355828221
"86","ALABAMA",4903185,2020-04-16,"April",133,15,4345,270,NA,4212,92.6657164787369,36391,553,3.06098964326812,776.110031847575,12.7272727272727
"87","ALABAMA",4903185,2020-04-17,"April",148,15,4571,226,NA,4423,97.4856133542707,37848,594,3.23780354408226,807.183437810641,12.9949682782761
"88","ALABAMA",4903185,2020-04-18,"April",153,5,4712,141,NA,4559,100.492717157148,42538,620,3.24702886247878,907.206961466631,13.1578947368421
"89","ALABAMA",4903185,2020-04-19,"April",157,4,4888,176,NA,4731,104.246265166413,45712,641,3.21194762684124,974.898787497358,13.1137479541735
"90","ALABAMA",4903185,2020-04-20,"April",163,6,5079,191,NA,4916,108.319717835559,45900,641,3.20929316794645,978.908259234528,12.6205946052373
"91","ALABAMA",4903185,2020-04-21,"April",183,20,5317,238,NA,5134,113.395538438997,48526,699,3.44179048335528,1034.91290169095,13.146511190521
"92","ALABAMA",4903185,2020-04-22,"April",196,13,5593,276,NA,5397,119.2817841808,48760,730,3.50438047559449,1039.90341438509,13.0520293223672
"93","ALABAMA",4903185,2020-04-23,"April",202,6,5832,239,NA,5630,124.378931761564,52641,768,3.4636488340192,1122.67341338485,13.1687242798354
"94","ALABAMA",4903185,2020-04-24,"April",209,7,6026,194,NA,5817,128.516365362686,52889,769,3.46830401593097,1127.96250376155,12.7613674078991
"95","ALABAMA",4903185,2020-04-25,"April",209,0,6026,0,NA,5817,128.516365362686,71344,839,3.46830401593097,1521.55187030127,13.9230003318951
"96","ALABAMA",4903185,2020-04-26,"April",219,10,6421,395,NA,6202,136.940521406207,73551,845,3.41068369412864,1568.62050925836,13.1599439339667
"97","ALABAMA",4903185,2020-04-27,"April",228,9,6539,118,NA,6311,139.457104730601,73997,872,3.48677167762655,1578.13234114548,13.335372381098
"98","ALABAMA",4903185,2020-04-28,"April",242,14,6750,211,NA,6508,143.957096946254,75827,911,3.58518518518519,1617.16070965091,13.4962962962963
"99","ALABAMA",4903185,2020-04-29,"April",256,14,6912,162,NA,6656,147.412067272964,80449,945,3.7037037037037,1715.73399884877,13.671875
"100","ALABAMA",4903185,2020-04-30,"April",272,16,7088,176,0,6816,151.165615282229,87196,978,3.83747178329571,1859.62711486305,13.7979683972912
"101","ALABAMA",4903185,2020-05-01,"May",289,17,7294,206,0,7005,155.558972611256,91933,1008,3.96216068001097,1960.65300645333,13.8195777351248
"102","ALABAMA",4903185,2020-05-02,"May",288,-1,7611,317,0,7323,162.319624423399,92209,1023,3.78399684666929,1966.53925219513,13.4410721324399
"103","ALABAMA",4903185,2020-05-03,"May",290,2,7888,277,0,7598,168.227197142526,92500,1035,3.67647058823529,1972.74540259682,13.1211967545639
"104","ALABAMA",4903185,2020-05-04,"May",298,8,8112,224,0,7814,173.004440063409,103117,1064,3.67357001972387,2199.17392086028,13.1163708086785
"105","ALABAMA",4903185,2020-05-05,"May",315,17,8437,325,NA,8122,179.935707694155,106766,1107,3.73355458101221,2276.99606112056,13.1207775275572
"106","ALABAMA",4903185,2020-05-06,"May",343,28,8691,254,NA,8348,185.352759934799,109516,1158,3.94661143711886,2335.64524876533,13.3241284086987
"107","ALABAMA",4903185,2020-05-07,"May",369,26,9046,355,NA,8677,192.923836885306,115173,1178,4.07915100596949,2456.29195949495,13.02233031174
"108","ALABAMA",4903185,2020-05-08,"May",383,14,9385,339,NA,9002,200.153682198607,120114,1207,4.08098028769313,2561.66855445961,12.8609483217901
"109","ALABAMA",4903185,2020-05-09,"May",390,7,9668,283,NA,9278,206.189216781687,125494,1228,4.03392635498552,2676.40769247011,12.7016963177493
"110","ALABAMA",4903185,2020-05-10,"May",393,3,9889,221,NA,9496,210.902478770594,127421,1240,3.97411265041966,2717.5047777761,12.5391849529781
"111","ALABAMA",4903185,2020-05-11,"May",403,10,10164,275,NA,9761,216.767397535071,129444,1256,3.96497441951987,2760.64925290532,12.3573396300669
"112","ALABAMA",4903185,2020-05-12,"May",435,32,10464,300,NA,10029,223.165490732682,133218,1287,4.15711009174312,2841.13726533127,12.2993119266055
"113","ALABAMA",4903185,2020-05-13,"May",450,15,10700,236,NA,10250,228.198657381469,136372,1317,4.20560747663551,2908.40255181549,12.3084112149533
"114","ALABAMA",4903185,2020-05-14,"May",473,23,11101,401,NA,10628,226.403857900528,141985,1350,4.26087739843257,2895.77081019786,12.1610665705792
"115","ALABAMA",4903185,2020-05-15,"May",483,10,11373,272,NA,10890,231.951272489209,146063,1377,4.24690055394355,2978.94123921492,12.1076233183857
"116","ALABAMA",4903185,2020-05-16,"May",485,2,11674,301,NA,11189,238.0901394,153494,1387,4.154531437,3130.49579,11.88110331
"117","ALABAMA",4903185,2020-05-17,"May",488,3,11771,97,NA,11283,240.068445306469,156350,1392,4.14578200662645,3188.74364316256,11.8256732648033
"118","ALABAMA",4903185,2020-05-18,"May",489,1,12086,315,NA,11597,246.492840877919,157123,1416,4.04600364057587,3204.50890594583,11.716035081913
"119","ALABAMA",4903185,2020-05-19,"May",504,15,12376,290,NA,11872,252.407363784968,157566,1453,4.07239819004525,3213.54384955901,11.740465416936
"120","ALABAMA",4903185,2020-05-20,"May",522,18,13052,676,NA,12530,266.194320630366,164450,1493,3.99938706711615,3353.94238642841,11.438859944836
"121","ALABAMA",4903185,2020-05-21,"May",529,7,13288,236,NA,12759,271.007518582309,170739,1528,3.98103552077062,3482.20595388508,11.4990969295605
"122","ALABAMA",4903185,2020-05-22,"May",541,12,13670,382,7951,5178,278.798372894353,177768,1561,3.9575713240673,3625.561752208,11.4191660570593
"123","ALABAMA",4903185,2020-05-23,"May",549,8,14117,447,7951,5617,287.91489613384,182676,1589,3.88892824254445,3725.65995368317,11.2559325635758
"124","ALABAMA",4903185,2020-05-24,"May",551,2,14478,361,7951,5976,295.277457407787,185799,1612,3.80577427821522,3789.35324692011,11.1341345489709
"125","ALABAMA",4903185,2020-05-25,"May",566,15,14986,508,7951,6469,305.638069948411,190315,1629,3.77685840117443,3881.45664501747,10.8701454691045
"126","ALABAMA",4903185,2020-05-26,"May",580,14,15650,664,7951,7119,319.180287914896,193759,1671,3.70607028753994,3951.69670326533,10.6773162939297
"127","ALABAMA",4903185,2020-05-27,"May",583,3,16032,382,7951,7498,326.97114222694,195794,1719,3.63647704590818,3993.20033814755,10.7223053892216
